Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=18&year=26"" target=""_blank"">HB  18</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Javier Martínez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=19&year=26"" target=""_blank"">HB  19</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Reena Szczepanski,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=20&year=26"" target=""_blank"">HB  20</a>",NATIVE AMERICAN DESIGNATION ON LICENSES,Michelle Paulene Abeyta; Alan T. Martinez; Angel M. Charley; William A. Hall II; Joseph Franklin Hernandez,Passed in the House of Representatives - Y:66 N:3,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=21&year=26"" target=""_blank"">HB  21</a>",LAND GRANT-MERCED ACEQUIA INFRASTRUCTURE ACT,Miguel P. García; Leo Jaramillo; Linda Serrato; Pete Campos,HRDLC: Reported by committee with Do Pass recommendation with amendment(s),House Taxation & Revenue Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=22&year=26"" target=""_blank"">HB  22</a>",DISTRIBUTION OF SENSITIVE AND DEEPFAKE IMAGES,Christine Chandler; Michelle Paulene Abeyta; Cynthia Borrego,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=23&year=26"" target=""_blank"">HB  23</a>",PROHIBITING NONFUNCTIONAL TURF INSTALLATION,Kathleen Cates; Patricia Roybal Caballero; Susan K. Herrera,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=24&year=26"" target=""_blank"">HB  24</a>",PROFESSIONAL RECRUITMENT AND RETENTION ACT,Kathleen Cates; Marianna Anaya; D. Wonda Johnson,HGEIC: Reported by committee with Do Pass recommendation with amendment(s),House Appropriations & Finance Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=25&year=26"" target=""_blank"">HB  25</a>",JUVENILE FIREARM USE AND BACKGROUND CHECKS,Kathleen Cates; Andrea Reeb; Nicole Chavez; Patricia Roybal Caballero; Charlotte Little,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=26&year=26"" target=""_blank"">HB  26</a>",PROHIBITING BOOK BANNING AT PUBLIC LIBRARIES,Kathleen Cates; Harold Pope; Antoinette Sedillo Lopez; Patricia Roybal Caballero,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=27&year=26"" target=""_blank"">HB  27</a>",TECHNOLOGY JOBS R&D TAX CREDIT EXPANSION,Meredith A. Dixon; Michael Padilla; Joshua N. Hernandez; Linda Serrato; Nicole Tobiassen,HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Taxation & Revenue Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=28&year=26"" target=""_blank"">HB  28</a>",ARTIFICIAL INTELLIGENCE TRANSPARENCY ACT,Christine Chandler,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=29&year=26"" target=""_blank"">HB  29</a>",MILITARY BASE IMPACT FUNDING,Debra M. Sariñana; Harold Pope; Alan T. Martinez; Shannon D. Pinto; John Block,HLVMC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=30&year=26"" target=""_blank"">HB  30</a>",TEACHER RESIDENCY ACT CHANGES,Debra M. Sariñana; Mimi Stewart; Joy Garratt; Natalie Figueroa; Brian G. Baca,SEC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=31&year=26"" target=""_blank"">HB  31</a>",EMS PERSONNEL LICENSURE INTERSTATE COMPACT,Marian Matthews; Harlan Vincent; Sarah Silva; Jenifer Jones; Rebecca Dow,Sent to SHPAC - Referrals: SHPAC/SJC,Scheduled for Senate Health and Public Affairs Committee                                                                                                                                                                                                                      on 2/15/2026,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=32&year=26"" target=""_blank"">HB  32</a>",COUNSELING LICENSURE COMPACT,Marian Matthews; Jenifer Jones; Nicole Chavez; Elaine Sena Cortez; Catherine J. Cullen,Sent to SHPAC - Referrals: SHPAC/SJC,Senate Health and Public Affairs Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=33&year=26"" target=""_blank"">HB  33</a>",PSYCHOLOGY INTERJURISDICTIONAL COMPACT,Marian Matthews; Jenifer Jones; Elaine Sena Cortez; Nicole Chavez; Catherine J. Cullen,Sent to SHPAC - Referrals: SHPAC/SJC,Scheduled for Senate Health and Public Affairs Committee                                                                                                                                                                                                                      on 2/15/2026,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=34&year=26"" target=""_blank"">HB  34</a>",SCHOOL NURSE LICENSURE PROVISIONS,Joy Garratt; Natalie Figueroa,SHPAC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=35&year=26"" target=""_blank"">HB  35</a>",LOBBYING ACTIVITY REPORTS,Sarah Silva; Jeff Steinborn,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=36&year=26"" target=""_blank"">HB  36</a>",ACCESSIBILITY ACT & OFFICE,"Kathleen Cates; Elizabeth ""Liz"" Thomson",Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=37&year=26"" target=""_blank"">HB  37</a>",MAN-MADE WATER INFRASTRUCTURE FAILURE,Kathleen Cates,Sent to HAAWC - Referrals: HAAWC/HTRC,"House Agriculture, Acequias And Water Resources",01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=38&year=26"" target=""_blank"">HB  38</a>",WHEELCHAIR INSURANCE COVERAGE,"Kathleen Cates; Elizabeth ""Liz"" Thomson; Elizabeth ""Liz"" Stefanics",Passed in the House of Representatives - Y:68 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=39&year=26"" target=""_blank"">HB  39</a>",CRIME OF TICKET SCALPING,Kathleen Cates,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=40&year=26"" target=""_blank"">HB  40</a>",TEMPORARY ERB MEMBER PAYMENT,"Cynthia Borrego; Elizabeth ""Liz"" Stefanics; Joseph L. Sanchez; Nicole Chavez; Tara L. Lujan",HEC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=41&year=26"" target=""_blank"">HB  41</a>",TEMPORARY PERA MEMBER PAYMENT,"Cynthia Borrego; Elizabeth ""Liz"" Stefanics; Joseph L. Sanchez; D. Wonda Johnson; Charlotte Little",HGEIC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=42&year=26"" target=""_blank"">HB  42</a>",FROZEN FOOD FOR CERTAIN COMMUNITIES,Cynthia Borrego; Eleanor Chávez; Tara L. Lujan,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=43&year=26"" target=""_blank"">HB  43</a>",DISABILITY & SURVIVOR PENSIONS CHANGES,Cynthia Borrego; Joseph L. Sanchez; D. Wonda Johnson; Tara L. Lujan; Nicole Chavez,Sent to SHPAC - Referrals: SHPAC,Scheduled for Senate Health and Public Affairs Committee                                                                                                                                                                                                                      on 2/15/2026,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=44&year=26"" target=""_blank"">HB  44</a>",DENTAL & DENTAL HYGIENIST COMPACT,Gail Armstrong; Nicole Chavez; Elaine Sena Cortez; Catherine J. Cullen; Jenifer Jones,Sent to HHHC - Referrals: HHHC/HJC,House Health & Human Services Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=45&year=26"" target=""_blank"">HB  45</a>",PHYSICIAN ASSISTANT LICENSURE COMPACT,Gail Armstrong; Elaine Sena Cortez; Nicole Chavez; Catherine J. Cullen; Jenifer Jones,Sent to HHHC - Referrals: HHHC/HJC,House Health & Human Services Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=46&year=26"" target=""_blank"">HB  46</a>",CRIME OF DIGITAL SABOTAGE OF A BUSINESS,Kathleen Cates; John Block,Not Printed,House Rules & Order of Business Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=47&year=26"" target=""_blank"">HB  47</a>",SCHOOL EMPLOYEE INSURANCE PROGRAMS,Raymundo Lara; Natalie Figueroa; Mimi Stewart; Tanya Mirabal Moya; Brian G. Baca,Sent to SEC - Referrals: SEC,Scheduled for Senate Education Committee                                                                                                                                                                                                                                      on 2/16/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=48&year=26"" target=""_blank"">HB  48</a>",NM TECH SEISMOLOGY EQUIPMENT,Joseph L. Sanchez; Jack Chatfield; Rebecca Dow,HEC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=49&year=26"" target=""_blank"">HB  49</a>",INCREASE FELON FIREARM PENALTY,Joy Garratt; Heather Berghmans; Charlotte Little; Andrea Reeb; Debra M. Sariñana,Sent to SJC - Referrals: SJC/SFC,Senate Judiciary Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=50&year=26"" target=""_blank"">HB  50</a>",SOCIAL WORK LICENSURE INTERSTATE COMPACT,Pamelya Herndon; Antoinette Sedillo Lopez; Linda M. Trujillo; Patricia Roybal Caballero; Sarah Silva,,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=51&year=26"" target=""_blank"">HB  51</a>",SPAY & NEUTER FEE DELAYED REPEAL,Jenifer Jones; Susan K. Herrera; D. Wonda Johnson; Kathleen Cates,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=52&year=26"" target=""_blank"">HB  52</a>",CRIMINAL COMPETENCY STATUTE CROSS REFERENCES,Andrea Reeb; Luis M. Terrazas; Pete Campos,HCPAC: Reported by committee with Do Pass recommendation,House Judiciary Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=53&year=26"" target=""_blank"">HB  53</a>",NM IRELAND TRADE COMMISSION,Mark B. Murphy; Kathleen Cates; John Block; Tanya Mirabal Moya; Angelita Mejia,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=54&year=26"" target=""_blank"">HB  54</a>",PROTESTS ON WATER REPLACEMENT WELLS,Cathrynn N. Brown,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=55&year=26"" target=""_blank"">HB  55</a>",1ST RESPONDER RETIREMENT TAX DEDUCTION,Alan T. Martinez; John Block; Harlan Vincent,HLVMC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=56&year=26"" target=""_blank"">HB  56</a>",VETERAN BEHAVIORAL HEALTH SERVICES,Alan T. Martinez; Rebecca Dow; John Block; D. Wonda Johnson,HLVMC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=57&year=26"" target=""_blank"">HB  57</a>",TRAFFIC OFFENSE VIDEO TESTIMONY,Andrea Reeb; Luis M. Terrazas,HCPAC: Reported by committee without a recommendation,House Judiciary Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=58&year=26"" target=""_blank"">HB  58</a>",TELEPHONE CRIMES,Andrea Reeb; Luis M. Terrazas; Joshua N. Hernandez,HCPAC: Reported by committee with Do Pass recommendation,House Judiciary Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=59&year=26"" target=""_blank"">HB  59</a>",INCREASE PENALTY FOR CERTAIN DEATHS,Andrea Reeb; Luis M. Terrazas,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/26/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=60&year=26"" target=""_blank"">HB  60</a>",REVISE CERTAIN CRIMINAL OFFENSE DEFINITIONS,Nicole Chavez; Andrea Reeb; William A. Hall II,Sent to SJC - Referrals: SJC,Senate Judiciary Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=61&year=26"" target=""_blank"">HB  61</a>",AGGRAVATED BATTERY ON POLICE OFFICER,Andrea Reeb; William A. Hall II; Nicole Chavez,Sent to SJC - Referrals: SJC,Senate Judiciary Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=62&year=26"" target=""_blank"">HB  62</a>",RENAME & CREATE GEOTHERMAL TAX CREDITS,Patricia Roybal Caballero; Pat Woods; Mark B. Murphy; Joanne J. Ferrary; Heather Berghmans,HENRC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=63&year=26"" target=""_blank"">*HB  63</a>",NMFA WATER PROJECT FUND PROJECTS,Kathleen Cates; John Block; Pete Campos,SCONC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=64&year=26"" target=""_blank"">HB  64</a>",PUBLIC PROJECT REVOLVING FUND APPROPRIATIONS,Kathleen Cates,Sent to SFC - Referrals: SFC,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=65&year=26"" target=""_blank"">HB  65</a>",CYFD SHORT-TERM STABILIZATION PILOT PGM,"Rebecca Dow; Cathrynn N. Brown; Elaine Sena Cortez; Charlotte Little; Elizabeth ""Liz"" Stefanics",Passed in the House of Representatives - Y:65 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=66&year=26"" target=""_blank"">HB  66</a>",HEALTH CARE PROFESSIONAL LOAN FUND CHANGES,Christine Chandler; Natalie Figueroa; Eleanor Chávez,Passed in the House of Representatives - Y:69 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=67&year=26"" target=""_blank"">HB  67</a>",RESTRAINING ORDERS & FIREARMS,Joy Garratt; Micaelita Debbie O'Malley,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=68&year=26"" target=""_blank"">HB  68</a>",HEALTH CARE RECRUITMENT PROGRAM FUNDING,Marianna Anaya; Anita Gonzales; Michelle Paulene Abeyta,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=69&year=26"" target=""_blank"">HB  69</a>",CHILDHOOD SEXUAL ABUSE STATUTE OF LIMITATIONS,Marianna Anaya; Mimi Stewart,Sent to HPREF - Referrals: HPREF,House Pre-file,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=70&year=26"" target=""_blank"">HB  70</a>",PRC SUPPORT AGENCY,Kristina Ortez; Mimi Stewart,Sent to SRC - Referrals: SRC,Scheduled for Senate Rules Committee                                                                                                                                                                                                                                          on 2/15/2026,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=71&year=26"" target=""_blank"">HB  71</a>",COUNTY & MUNICIPALITY ORDINANCE ENFORCEMENT,Rod Montoya,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=72&year=26"" target=""_blank"">HB  72</a>",CONTROLLED SUBSTANCE MINOR DISTRIBUTION,Andrea Reeb; Elaine Sena Cortez; Luis M. Terrazas,HHHC: Reported by committee with Do Pass recommendation,House Judiciary Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=73&year=26"" target=""_blank"">HB  73</a>",SENTENCE DEFERMENT FOR REPEAT OFFENDER,Andrea Reeb; Luis M. Terrazas; Nicole Chavez,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=74&year=26"" target=""_blank"">HB  74</a>",HABITUAL OFFENDER STATUTE OF LIMITATIONS,Andrea Reeb; Luis M. Terrazas; Nicole Chavez,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=75&year=26"" target=""_blank"">HB  75</a>",ALTERATION OF SENTENCE BASED ON CIRCUMSTANCES,Andrea Reeb; Luis M. Terrazas; Nicole Chavez,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=76&year=26"" target=""_blank"">HB  76</a>",ALTERNATIVE PLACEMENT OF YOUTH IN CUSTODY,Rebecca Dow; Nicole Tobiassen; Tanya Mirabal Moya; Randall T. Pettigrew; Gail Armstrong,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=77&year=26"" target=""_blank"">HB  77</a>",AFFORDABLE HOUSING REVITALIZATION TAX CREDIT,Rebecca Dow; Cindy Nava; Joshua N. Hernandez; Anita Gonzales,HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Taxation & Revenue Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=78&year=26"" target=""_blank"">HB  78</a>",SEALED JUVENILE RECORD REFERENCES,Andrea Reeb; Nicole Chavez,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=79&year=26"" target=""_blank"">HB  79</a>",EVIDENCE IN PROBATION REVOCATION,Andrea Reeb,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=80&year=26"" target=""_blank"">HB  80</a>",OIL & GAS CONSERVATION TAX ACT CHANGES,Mark B. Murphy; Debra M. Sariñana; Elaine Sena Cortez; Meredith A. Dixon; Jonathan A. Henry,HAFC: Reported by committee with Do Pass recommendation,House Calendar,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=81&year=26"" target=""_blank"">HB  81</a>",PERMITLESS CARRY OF FIREARMS,John Block; Stefani Lord; Randall T. Pettigrew,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=82&year=26"" target=""_blank"">HB  82</a>",EXTEND TECHNOLOGY READINESS GRT CREDIT,Joseph L. Sanchez; Joshua N. Hernandez,HCEDC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=83&year=26"" target=""_blank"">HB  83</a>",PERSONAL CARE SERVICES MEDICAID REIMBURSEMENT,Rebecca Dow; Joseph L. Sanchez; Mark Duncan; Joseph Franklin Hernandez; Gail Armstrong,Not Printed,House Rules & Order of Business Committee,01/22/2026
